"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014081","2014-03-22","250m_16_days_NDVI","h13v04",2015276220112,1,5078
"A2014097","2014-04-07","250m_16_days_NDVI","h13v04",2015278233526,1,6705
"A2014113","2014-04-23","250m_16_days_NDVI","h13v04",2015281101019,1,7225
"A2014129","2014-05-09","250m_16_days_NDVI","h13v04",2015281104350,1,7086
"A2014145","2014-05-25","250m_16_days_NDVI","h13v04",2015287233108,1,7998
"A2014161","2014-06-10","250m_16_days_NDVI","h13v04",2015288075141,1,8096
"A2014177","2014-06-26","250m_16_days_NDVI","h13v04",2015288071331,1,8560
"A2014193","2014-07-12","250m_16_days_NDVI","h13v04",2015289003334,1,8654
"A2014209","2014-07-28","250m_16_days_NDVI","h13v04",2015289032654,1,8752
"A2014225","2014-08-13","250m_16_days_NDVI","h13v04",2015289160600,1,8561
"A2014241","2014-08-29","250m_16_days_NDVI","h13v04",2015289182833,1,8484
"A2014257","2014-09-14","250m_16_days_NDVI","h13v04",2015291062645,1,7518
"A2014273","2014-09-30","250m_16_days_NDVI","h13v04",2015291111908,1,7511
"A2014289","2014-10-16","250m_16_days_NDVI","h13v04",2015291191437,1,7882
"A2014305","2014-11-01","250m_16_days_NDVI","h13v04",2015292062207,1,4823
"A2014321","2014-11-17","250m_16_days_NDVI","h13v04",2015292071723,1,7824
"A2014337","2014-12-03","250m_16_days_NDVI","h13v04",2015294144310,1,5470
"A2014353","2014-12-19","250m_16_days_NDVI","h13v04",2018226110042,1,9050
"A2015001","2015-01-01","250m_16_days_NDVI","h13v04",2015295101425,1,6980
"A2015017","2015-01-17","250m_16_days_NDVI","h13v04",2015295115329,1,7723
"A2015033","2015-02-02","250m_16_days_NDVI","h13v04",2015296122945,1,5436
"A2015049","2015-02-18","250m_16_days_NDVI","h13v04",2015296153038,1,6107
"A2015065","2015-03-06","250m_16_days_NDVI","h13v04",2015298001147,1,4932
"A2015081","2015-03-22","250m_16_days_NDVI","h13v04",2015298185113,1,5063
"A2015097","2015-04-07","250m_16_days_NDVI","h13v04",2015299004045,1,6422
"A2015113","2015-04-23","250m_16_days_NDVI","h13v04",2015299023927,1,7355
"A2015129","2015-05-09","250m_16_days_NDVI","h13v04",2015299151356,1,7557
"A2015145","2015-05-25","250m_16_days_NDVI","h13v04",2015300234234,1,8249
"A2015161","2015-06-10","250m_16_days_NDVI","h13v04",2015301071941,1,8498
"A2015177","2015-06-26","250m_16_days_NDVI","h13v04",2015301214817,1,8589
"A2015193","2015-07-12","250m_16_days_NDVI","h13v04",2015304013811,1,8665
"A2015209","2015-07-28","250m_16_days_NDVI","h13v04",2015304024532,1,8714
"A2015225","2015-08-13","250m_16_days_NDVI","h13v04",2015305194427,1,8569
"A2015241","2015-08-29","250m_16_days_NDVI","h13v04",2015305210741,1,8721
"A2015257","2015-09-14","250m_16_days_NDVI","h13v04",2015306151040,1,8711
"A2015273","2015-09-30","250m_16_days_NDVI","h13v04",2015307054754,1,7941
"A2015289","2015-10-16","250m_16_days_NDVI","h13v04",2015317212233,1,7852
"A2015305","2015-11-01","250m_16_days_NDVI","h13v04",2015335130631,1,7993
"A2015321","2015-11-17","250m_16_days_NDVI","h13v04",2015343135534,1,7449
"A2015337","2015-12-03","250m_16_days_NDVI","h13v04",2016004171550,1,8127
"A2015353","2015-12-19","250m_16_days_NDVI","h13v04",2018222150616,1,8349
"A2016001","2016-01-01","250m_16_days_NDVI","h13v04",2016029065959,1,8456
"A2016017","2016-01-17","250m_16_days_NDVI","h13v04",2016035114922,1,8258
"A2016033","2016-02-02","250m_16_days_NDVI","h13v04",2016050023409,1,5139
"A2016049","2016-02-18","250m_16_days_NDVI","h13v04",2016109133521,1,6607
"A2016065","2016-03-05","250m_16_days_NDVI","h13v04",2016111112440,1,7888
"A2016081","2016-03-21","250m_16_days_NDVI","h13v04",2017097232845,1,6954
"A2016097","2016-04-06","250m_16_days_NDVI","h13v04",2016114041418,1,7761
"A2016113","2016-04-22","250m_16_days_NDVI","h13v04",2016130115803,1,7151
"A2016129","2016-05-08","250m_16_days_NDVI","h13v04",2016147112929,1,7470
"A2016145","2016-05-24","250m_16_days_NDVI","h13v04",2016166144055,1,8001
"A2016161","2016-06-09","250m_16_days_NDVI","h13v04",2016184002602,1,8592
"A2016177","2016-06-25","250m_16_days_NDVI","h13v04",2016200095717,1,8505
"A2016193","2016-07-11","250m_16_days_NDVI","h13v04",2016215085109,1,8763
"A2016209","2016-07-27","250m_16_days_NDVI","h13v04",2016229083056,1,8632
"A2016225","2016-08-12","250m_16_days_NDVI","h13v04",2016243085355,1,8591
"A2016241","2016-08-28","250m_16_days_NDVI","h13v04",2016263150709,1,8735
"A2016257","2016-09-13","250m_16_days_NDVI","h13v04",2016274150342,1,8684
"A2016273","2016-09-29","250m_16_days_NDVI","h13v04",2016292070822,1,7336
"A2016289","2016-10-15","250m_16_days_NDVI","h13v04",2016306040609,1,7357
"A2016305","2016-10-31","250m_16_days_NDVI","h13v04",2016322045140,1,8404
"A2016321","2016-11-16","250m_16_days_NDVI","h13v04",2016340092422,1,8225
"A2016337","2016-12-02","250m_16_days_NDVI","h13v04",2016357042329,1,8728
"A2016353","2016-12-18","250m_16_days_NDVI","h13v04",2017010085938,1,6402
"A2017001","2017-01-01","250m_16_days_NDVI","h13v04",2017020222211,1,7458
"A2017017","2017-01-17","250m_16_days_NDVI","h13v04",2017034073709,1,7577
"A2017033","2017-02-02","250m_16_days_NDVI","h13v04",2017053060256,1,5199
"A2017049","2017-02-18","250m_16_days_NDVI","h13v04",2017066031211,1,6167
"A2017065","2017-03-06","250m_16_days_NDVI","h13v04",2017082120814,1,6837
"A2017081","2017-03-22","250m_16_days_NDVI","h13v04",2017111085058,1,6954
"A2017097","2017-04-07","250m_16_days_NDVI","h13v04",2017116142053,1,6645
"A2017113","2017-04-23","250m_16_days_NDVI","h13v04",2017131014716,1,7577
"A2017129","2017-05-09","250m_16_days_NDVI","h13v04",2017145232301,1,7855
"A2017145","2017-05-25","250m_16_days_NDVI","h13v04",2017164072212,1,8081
"A2017161","2017-06-10","250m_16_days_NDVI","h13v04",2017178081214,1,8752
"A2017177","2017-06-26","250m_16_days_NDVI","h13v04",2017194070007,1,8981
"A2017193","2017-07-12","250m_16_days_NDVI","h13v04",2017209234132,1,8782
"A2017209","2017-07-28","250m_16_days_NDVI","h13v04",2017234112225,1,8827
"A2017225","2017-08-13","250m_16_days_NDVI","h13v04",2017250141529,1,8688
"A2017241","2017-08-29","250m_16_days_NDVI","h13v04",2017262090700,1,8510
"A2017257","2017-09-14","250m_16_days_NDVI","h13v04",2017276132808,1,8142
"A2017273","2017-09-30","250m_16_days_NDVI","h13v04",2017290090922,1,7699
"A2017289","2017-10-16","250m_16_days_NDVI","h13v04",2017310141957,1,7969
"A2017305","2017-11-01","250m_16_days_NDVI","h13v04",2017325114342,1,7901
"A2017321","2017-11-17","250m_16_days_NDVI","h13v04",2017337222355,1,8572
"A2017337","2017-12-03","250m_16_days_NDVI","h13v04",2017353223802,1,7851
"A2017353","2017-12-19","250m_16_days_NDVI","h13v04",2018004224505,1,4360
"A2018001","2018-01-01","250m_16_days_NDVI","h13v04",2018017224537,1,4561
"A2018017","2018-01-17","250m_16_days_NDVI","h13v04",2018033224000,1,5865
"A2018033","2018-02-02","250m_16_days_NDVI","h13v04",2018049223224,1,5793
"A2018049","2018-02-18","250m_16_days_NDVI","h13v04",2018066165820,1,8062
"A2018065","2018-03-06","250m_16_days_NDVI","h13v04",2018082154316,1,5135
"A2018081","2018-03-22","250m_16_days_NDVI","h13v04",2018097234756,1,4859
"A2018097","2018-04-07","250m_16_days_NDVI","h13v04",2018113234737,1,6701
"A2018113","2018-04-23","250m_16_days_NDVI","h13v04",2018129235149,1,7385
"A2018129","2018-05-09","250m_16_days_NDVI","h13v04",2018151110632,1,7812
"A2018145","2018-05-25","250m_16_days_NDVI","h13v04",2018162002200,1,8298
"A2018161","2018-06-10","250m_16_days_NDVI","h13v04",2018177235709,1,8251
"A2018177","2018-06-26","250m_16_days_NDVI","h13v04",2018197102748,1,8655
"A2018193","2018-07-12","250m_16_days_NDVI","h13v04",2018210002750,1,8679
"A2018209","2018-07-28","250m_16_days_NDVI","h13v04",2018227125537,1,8753
"A2018225","2018-08-13","250m_16_days_NDVI","h13v04",2018241235535,1,8743
"A2018241","2018-08-29","250m_16_days_NDVI","h13v04",2018257235318,1,8763
"A2018257","2018-09-14","250m_16_days_NDVI","h13v04",2018282125802,1,8578
"A2018273","2018-09-30","250m_16_days_NDVI","h13v04",2018295111728,1,7576
"A2018289","2018-10-16","250m_16_days_NDVI","h13v04",2018313120025,1,8125
"A2018305","2018-11-01","250m_16_days_NDVI","h13v04",2018321224939,1,8238
"A2018321","2018-11-17","250m_16_days_NDVI","h13v04",2018338084408,1,7502
"A2018337","2018-12-03","250m_16_days_NDVI","h13v04",2018365153516,1,6619
"A2018353","2018-12-19","250m_16_days_NDVI","h13v04",2019009042842,1,9281
