siteName,Lat,Long,URL,PFT,TZ,startDate
HarvardForest,42.5378,-72.1715,http://phenocam.sr.unh.edu/data/archive/harvard/ROI/harvard_DB_0001_1day.csv,DB,5,2008-04-14
HubbardBrook,43.9269,-71.7407,https://phenocam.sr.unh.edu/data/archive/hubbardbrooksfws/ROI/hubbardbrooksfws_DB_3000_1day.csv,DB,5,2014-08-08
UMBio,45.55984,-84.71382,http://phenocam.sr.unh.edu/data/archive/umichbiological/ROI/umichbiological_DB_2000_1day.csv,DB,5,2014-03-29
Coweeta,35.05959,-83.42798,http://phenocam.sr.unh.edu/data/archive/coweeta/ROI/coweeta_DB_1000_1day.csv,DB,5,2011-04-14
Bartlett,44.0646,-71.2881,http://phenocam.sr.unh.edu/data/archive/bartlettir/ROI/bartlettir_DB_1000_1day.csv,DB,5,2008-04-18
missouriozarks,38.7441,-92.2,https://phenocam.sr.unh.edu/data/archive/missouriozarks/ROI/missouriozarks_DB_1000_1day.csv,DB,6,2012-03-05
luckyHills,31.7438,-110.0522,https://phenocam.sr.unh.edu/data/archive/luckyhills/ROI/luckyhills_SH_2000_1day.csv,SH,7,2015-01-27
morganMonroe,39.3231,-86.4131,https://phenocam.sr.unh.edu/data/archive/morganmonroe/ROI/morganmonroe_DB_1000_1day.csv,DB,5,2008-09-01
russellSage,32.457,-91.9743,https://phenocam.sr.unh.edu/data/archive/russellsage/ROI/russellsage_DB_1000_1day.csv,DB,6,2013-11-20
willowCreek,45.805986,-90.0791,https://phenocam.sr.unh.edu/data/archive/willowcreek/ROI/willowcreek_DB_1000_1day.csv,DB,6,2012-04-26
howland,45.2128,-68.7418,https://phenocam.sr.unh.edu/data/archive/howland2/ROI/howland2_DB_2000_1day.csv,DB,5,2014-03-22
burns,43.4712,-119.6909,https://phenocam.sr.unh.edu/data/archive/burnssagebrush/ROI/burnssagebrush_SH_1000_1day.csv,SH,8,2012-10-13
jerbajada,32.5799,-106.6338,https://phenocam.sr.unh.edu/data/archive/jerbajada/ROI/jerbajada_SH_1000_1day.csv,SH,7,2014-04-21
jernort,32.619,-106.788,https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_1000_1day.csv,SH,7,2014-03-04
bullshoals,36.5628,-93.0666,https://phenocam.sr.unh.edu/data/archive/bullshoals/ROI/bullshoals_DB_1000_1day.csv,DB,6,2013-11-20
dukehw,35.9736,-79.1004,https://phenocam.sr.unh.edu/data/archive/dukehw/ROI/dukehw_DB_1000_1day.csv,DB,5,2013-05-31
greenridge,39.6905,-78.4067,https://phenocam.sr.unh.edu/data/archive/greenridge1/ROI/greenridge1_DB_1000_1day.csv,DB,5,2016-06-18
marcell,47.5139,-93.46925,https://phenocam.sr.unh.edu/data/archive/marcell/ROI/marcell_DB_1000_1day.csv,DB,5,2014-06-18
